Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)"
apache-commons-pool,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-pool2,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-validator,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-commons-vfs2,Jagadeesh,,N,N,Y,Y,N,N,,P1
apache-parent,Jagadeesh,,N,N,Y,Y,N,N,,P1
argparse-manpage,Kevin,,N,N,N,N,Y,N,has been rename to python-argparse-manpage,P1
args4j,Kevin,,N,N,Y,Y,N,N,,P1
arptables,Kevin,,N,N,Y,Y,N,N,,P1
arpwatch,Kevin,,N,N,Y,Y,N,N,,P1
asio,Kevin,,N,N,Y,Y,N,N,,P1
aspell-en,Kevin,,N,N,Y,Y,N,N,,P0
audiofile,Kevin,,N,N,Y,Y,N,N,,P1
authselect,Kevin,,N,N,Y,Y,N,N,,P1
babeltrace,Kevin,,N,N,Y,Y,N,N,,P1
babl,Kevin,,N,N,Y,Y,N,N,,P1
baekmuk-ttf-fonts,Kevin,,N,N,Y,Y,N,N,,P1
base64coder,Kevin,,N,N,Y,Y,N,N,,P1
bats,Kevin,,N,N,Y,Y,N,N,,P1
bcache-tools,Kevin,,N,N,Y,Y,N,N,,P1
bcel,Kevin,,N,N,Y,Y,N,N,,P1
bea-stax,Kevin,,N,N,Y,Y,N,N,,P1
beust-jcommander,Kevin,,N,N,Y,Y,N,N,,P1
biosdevname,Kevin,,N,N,Y,Y,N,N,,P1
blosc,Kevin,,N,N,Y,Y,N,N,,CP_batch1
bogofilter,Kevin,,N,N,N,N,Y,N,,P1
bolt,Akarsh,,N,N,Y,Y,N,N,,CP_batch1
boom-boot,Akarsh,,N,N,Y,Y,N,N,,P1
booth,Akarsh,,N,N,Y,Y,N,N,,P1
botan2,Akarsh,,N,N,Y,Y,N,N,,P1
breezy,Akarsh,,N,N,Y,Y,N,N,,P1
bsf,Akarsh,,N,N,Y,Y,N,N,,P1
buildah,Akarsh,,N,N,Y,Y,N,N,,P1
bwidget,Akarsh,Override_to_Y,N,N,Y,Y,N,N,,P1
cachefilesd,Akarsh,,N,N,Y,Y,N,N,,P1
cairomm,Akarsh,,N,N,Y,Y,N,N,,P1
capstone,Akarsh,,N,N,Y,Y,N,N,,P1
cassandra,Akarsh,,N,N,Y,Y,N,N,,P1
catatonit,Akarsh,,N,N,Y,Y,N,N,,P1
cdparanoia,Sumit,,N,N,Y,Y,N,N,,CP_batch1
cdrdao,Akarsh,,N,N,Y,Y,N,N,,P1
celt051,Akarsh,,N,N,Y,Y,N,N,,P1
certmonger,Akarsh,,N,N,Y,Y,N,N,,P1
cfitsio,Akarsh,,N,N,Y,Y,N,N,,CP_batch1
cgdcbxd,Akarsh,,N,N,Y,Y,N,N,,P1
cglib,Akarsh,,N,N,Y,Y,N,N,,P1
chan,Neeraj,,N,N,Y,Y,N,N,,P1
cim-schema,Akarsh,,N,N,Y,Y,N,N,,P0
cjkuni-uming-fonts,Neeraj,N,Y,Y,Y,Y,N,N,Since the package is inactive upstream we won't upgrade it,P1
cjose,Akarsh,,N,N,Y,Y,N,N,,P0
cldr-emoji-annotation,Akarsh,,Y,N,Y,Y,N,N,,P0
clucene,Sumit,Override_to_Y,N,N,Y,Y,N,N,clucene wasn't building.  Fixed it's build.,P1
clutter,Archana,,N,N,Y,Y,N,N,,P1
clutter-gst3,Archana,,N,N,Y,Y,N,N,,P1
clutter-gtk,Archana,,N,N,Y,Y,N,N,,P1
cmake-fedora,Jyoti,,N,N,Y,Y,N,N,,P1
cogl,Archana,,N,N,Y,Y,N,N,,P1
colorize,Archana,,N,N,Y,Y,N,N,,P1
compat-lua,Archana,,N,N,Y,Y,N,N,,P1
console-setup,Akarsh,,N,N,Y,Y,N,N,,P0
container-exception-logger,Archana,,N,N,Y,Y,N,N,,P1
containernetworking-plugins,Archana,,N,N,Y,Y,N,N,,P1
convmv,Archana,,N,N,Y,Y,N,N,,P1
corosync,Akhila,,N,N,Y,Y,N,N,,New P0
corosync-qdevice,Akhila,,N,N,Y,Y,N,N,,New P0
cppcheck,Archana,,N,N,Y,Y,N,N,,P1
cpptest,Archana,,N,N,Y,Y,N,N,,P1
cpuid,Akarsh,,N,N,Y,Y,N,N,,P0
crash-ptdump-command,Sreenivasulu,,N,N,Y,Y,N,N,,P1
criu,Sreenivasulu,,N,N,Y,Y,N,N,,P1
crypto-policies,Sreenivasulu,,N,N,Y,Y,N,N,,P1
cscope,Sreenivasulu,,N,N,Y,Y,N,N,,P1
custodia,Sreenivasulu,,N,N,Y,Y,N,N,,P1
dbus-c++,Sreenivasulu,,N,N,Y,Y,N,N,,P1
dbxtool,Sreenivasulu,,N,N,Y,Y,N,N,,CP_batch1
dcraw,Sreenivasulu,,N,N,Y,Y,N,N,,P1
deltarpm,Sreenivasulu,,N,N,Y,Y,N,N,,P1
delve,Sreenivasulu,,N,N,Y,Y,N,N,,P1
device-mapper-persistent-data,Sreenivasulu,,N,N,Y,Y,N,N,,P1
diffstat,Sreenivasulu,,N,N,Y,Y,N,N,,P1
discount,Sreenivasulu,,N,N,Y,Y,N,N,,P1
distribution-gpg-keys,Kevin,,N,N,Y,N,N,Y,,P1
dleyna-connector-dbus,Sreenivasulu,,N,N,Y,Y,N,N,,P1
dleyna-core,Sreenivasulu,,N,N,Y,Y,N,N,,P1
dmraid,Sreenivasulu,,N,N,Y,Y,N,N,,P1
docbook-simple,Sreenivasulu,,N,N,Y,Y,N,N,,P1
docbook-slides,Sreenivasulu,,N,N,Y,Y,N,N,,P1
docbook-utils,Sreenivasulu,,N,N,Y,Y,N,N,,P1
docbook5-style-xsl,Sreenivasulu,,N,N,Y,Y,N,N,,P1
dogtail,Sumit,,Y,N,Y,Y,N,N,,P1
dotconf,Sumit,,N,N,Y,Y,N,N,,P1
dovecot,Sumit,,N,N,Y,Y,N,N,,P1
dpkg,Sumit,To be removed,Y,Y,Y,Y,N,N,This package was removed after discussion.  Reason:  It is no longer in required.,P1
driverctl,Sumit,,N,N,Y,Y,N,N,,P1
dropwatch,Sumit,,N,N,Y,Y,N,N,,P1
drpm,Sumit,,N,N,Y,Y,N,N,,CP_batch1
dumpet,Sumit,,Y,N,Y,Y,N,N,,P1
dvd+rw-tools,Sumit,,N,N,Y,Y,N,N,,P1
dyninst,Sumit,,N,N,Y,Y,N,N,,P1
ecj,Sumit,Y,Y,Y,Y,Y,N,N,"proceeding with upgrade to version 4.23 as version 4.33, from the upstream doesn't have a release candidate yet",P1
edac-utils,Sumit,,N,N,Y,Y,N,N,,P1
efax,Sumit,,N,N,Y,Y,N,N,,P1
efi-rpm-macros,Sumit,Y,Y,Y,Y,Y,N,N,proceeding with upgrade to version 5 as version 6 from the upstream doesn't have a release candidate yet,CP_batch1
egl-wayland,Sumit,,N,N,Y,N,N,Y,,P1
eglexternalplatform,Sumit,,N,N,Y,N,N,Y,,P1
elinks,Sumit,,N,N,Y,Y,N,N,,P1
